id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,Female,23,1,24.0,0,< 1 Year,Yes,30243.0,152.0,113,0
1,Male,37,1,38.0,0,1-2 Year,Yes,24949.0,124.0,61,0
2,Male,49,1,32.0,0,1-2 Year,Yes,30436.0,4.0,141,1
3,Male,43,1,28.0,0,1-2 Year,Yes,42877.0,157.0,92,0
4,Female,66,1,28.0,1,1-2 Year,No,35788.0,124.0,255,0
5,Male,49,1,46.0,0,1-2 Year,Yes,43367.0,11.0,18,0
6,Female,44,1,8.0,0,1-2 Year,Yes,37324.0,26.0,256,0
7,Female,44,1,9.0,0,> 2 Years,Yes,24992.0,154.0,274,0
8,Female,25,1,11.0,1,< 1 Year,No,34967.0,152.0,184,0
9,Male,45,1,28.0,1,1-2 Year,No,49749.0,26.0,18,0
10,Female,32,1,9.0,0,1-2 Year,Yes,35950.0,124.0,229,1
11,Female,65,1,48.0,0,1-2 Year,Yes,2630.0,26.0,264,1
12,Male,59,1,46.0,0,1-2 Year,Yes,27358.0,124.0,69,0
13,Male,62,1,28.0,0,> 2 Years,Yes,46379.0,26.0,291,0
14,Female,20,1,46.0,0,< 1 Year,Yes,23611.0,160.0,157,0
15,Male,46,1,45.0,0,1-2 Year,Yes,32006.0,60.0,227,0
16,Female,34,1,11.0,0,1-2 Year,Yes,33565.0,157.0,81,1
17,Female,73,1,1.0,1,1-2 Year,No,2630.0,124.0,152,0
18,Female,20,1,28.0,0,1-2 Year,Yes,44788.0,157.0,77,0
19,Female,32,1,26.0,0,1-2 Year,Yes,41101.0,154.0,264,0
20,Female,54,1,8.0,1,1-2 Year,No,31056.0,26.0,123,0
21,Male,42,1,28.0,0,1-2 Year,Yes,40113.0,124.0,153,1
22,Female,54,1,28.0,0,1-2 Year,Yes,2630.0,26.0,27,0
23,Male,49,1,1.0,0,1-2 Year,Yes,2630.0,26.0,230,0
24,Female,22,1,33.0,1,< 1 Year,No,32861.0,152.0,34,0
25,Male,24,1,50.0,1,< 1 Year,No,26359.0,152.0,220,0
26,Male,69,1,38.0,0,1-2 Year,Yes,58933.0,24.0,271,0
27,Male,23,1,36.0,0,< 1 Year,Yes,23383.0,152.0,202,0
28,Female,21,1,49.0,0,< 1 Year,Yes,31680.0,160.0,259,0
29,Female,68,1,28.0,0,1-2 Year,Yes,41176.0,26.0,53,0
30,Female,71,1,28.0,0,1-2 Year,No,30373.0,124.0,163,0
31,Male,28,1,28.0,0,< 1 Year,Yes,56061.0,24.0,291,0
32,Female,25,1,13.0,1,< 1 Year,No,22008.0,152.0,155,0
33,Female,25,1,28.0,0,< 1 Year,Yes,93950.0,154.0,131,0
34,Female,23,1,11.0,1,< 1 Year,No,36249.0,152.0,211,0
35,Female,72,1,47.0,1,1-2 Year,No,34374.0,16.0,151,0
36,Female,26,1,6.0,1,< 1 Year,No,38727.0,152.0,184,0
37,Male,43,1,41.0,1,1-2 Year,No,33410.0,26.0,298,0
38,Male,23,1,8.0,1,< 1 Year,No,57120.0,152.0,226,0
39,Male,43,1,28.0,0,1-2 Year,Yes,37626.0,122.0,123,0
40,Female,47,1,28.0,0,1-2 Year,Yes,37041.0,26.0,223,0
41,Male,73,1,28.0,0,1-2 Year,Yes,2630.0,124.0,283,0
42,Male,29,1,29.0,1,< 1 Year,No,29709.0,152.0,38,0
